learning_rate,momentum,batch_size,bias_initializer_stddev,mean_loss,std_loss,min_loss,max_loss
0.001,0.9,8,3.0,0.0026754228922072796,0.0026970756973883577,0.00030868645990267396,0.010088197886943817
0.001,0.9,16,3.0,0.010054772498551755,0.014578700882457449,0.0015240524662658572,0.0682813823223114
0.001,0.9,50,3.0,0.0476740546990186,0.034473565365075974,0.00916203297674656,0.12903033196926117
0.001,0.9,8,1.0,0.3088305972516537,0.47186699170782903,0.023326709866523743,1.7681246995925903
0.002,0.0,8,3.0,0.3119991809595376,0.29904671367389124,0.004190610721707344,1.1365771293640137
0.002,0.0,16,3.0,0.48113441828172654,0.7926279923911461,0.0075300331227481365,3.6374971866607666
0.001,0.9,16,1.0,0.5344359181821347,0.43899516580193026,0.06675427407026291,1.570204496383667
0.001,0.9,50,1.0,0.7108066752552986,0.25041628771234914,0.3870827853679657,1.3223598003387451
0.002,0.0,50,3.0,0.7442089229822159,0.2417858702262273,0.14080172777175903,1.0291355848312378
0.001,0.0,8,1.0,0.8404587969183922,0.38069380317456986,0.42554470896720886,2.031564950942993
0.002,0.0,8,1.0,0.9314515277743339,0.7209674651828691,0.32631003856658936,3.1070165634155273
0.001,0.0,16,1.0,0.9386411011219025,0.28860777326339954,0.5629432797431946,1.6435894966125488
0.002,0.0,50,1.0,0.9689972013235092,0.13003792708373427,0.6743471026420593,1.1581332683563232
0.002,0.9,50,1.0,1.0227292969822883,0.569954603297674,0.25158360600471497,2.181645154953003
0.001,0.0,50,1.0,1.0247186869382858,0.12581089424115444,0.796843409538269,1.3293697834014893
0.001,0.0,8,3.0,1.027590125799179,0.6779332585904096,0.5324587821960449,3.6646358966827393
0.001,0.0,50,3.0,1.0395963191986084,0.11500559588127718,0.7970677018165588,1.2375233173370361
0.001,0.0,16,3.0,1.1460216403007508,0.456838213528695,0.5866499543190002,2.0480844974517822
0.002,0.0,16,1.0,1.1702423602342606,1.0010224176442781,0.4113062918186188,5.057831287384033
0.002,0.9,50,0.0,1.4485836267471313,0.043962439169037436,1.2569564580917358,1.459059476852417
0.001,0.9,50,0.0,1.4564317405223846,0.00903624154523763,1.4170438051223755,1.4585974216461182
0.001,0.9,8,0.0,1.8204077363014222,0.5103044570852717,1.4366788864135742,3.5255231857299805
0.002,0.0,8,0.0,2.100110787153244,1.035357833633078,1.410975456237793,5.1946187019348145
0.001,0.9,16,0.0,2.320055139064789,2.427311129850041,1.4345489740371704,12.743913650512695
0.001,0.0,16,0.0,2.6095332860946656,1.6659491299925648,1.3884193897247314,8.072375297546387
0.002,0.9,16,0.0,2.6950157463550566,1.9785495694699875,1.459305763244629,9.645929336547852
0.005,0.0,16,1.0,2.794792315363884,2.1231923644816755,0.9822202324867249,11.0552396774292
0.002,0.0,16,0.0,2.8905788898468017,2.267299212515641,1.3920940160751343,10.463515281677246
0.002,0.9,16,1.0,3.112096482515335,1.816232070807672,0.9393961429595947,9.082418441772461
0.005,0.0,8,1.0,3.406810699403286,2.887034082023793,0.49976351857185364,12.81014633178711
0.002,0.9,8,1.0,3.4239557698369025,2.3747485475785055,0.08019384741783142,8.895195007324219
0.001,0.0,8,0.0,3.6487528502941133,4.2876856140399555,1.4090204238891602,19.14289093017578
0.002,0.0,50,0.0,3.704981875419617,0.20215661477791577,3.35598087310791,4.173871994018555
0.002,0.9,8,3.0,4.967761880322359,9.375603484682173,0.0008125491440296173,31.658918380737305
0.002,0.9,8,0.0,7.270390737056732,5.015115063085855,1.490403413772583,12.858668327331543
0.001,0.0,50,0.0,7.324526977539063,0.17046752274773092,6.799660682678223,7.521264553070068
0.002,0.9,16,3.0,9.279506729415152,23.65282654459458,0.001555928261950612,93.6863784790039
0.005,0.0,8,0.0,11.906923025846481,2.652642039774871,1.8158100843429565,12.764596939086914
0.005,0.0,16,0.0,12.209080994129181,2.356294057296119,1.938239336013794,12.755017280578613
0.005,0.9,16,0.0,12.64430637359619,0.6715395948784271,9.734965324401855,13.002293586730957
0.005,0.9,50,0.0,12.740465068817139,0.0473114094634876,12.546635627746582,12.818778991699219
0.005,0.9,8,0.0,12.74341139793396,0.07493125103133323,12.48392105102539,12.810807228088379
0.005,0.0,50,1.0,13.610342860221863,5.676792402288308,5.6294660568237305,26.42560577392578
0.005,0.0,50,0.0,13.863735628128051,0.005776264064521534,13.85200309753418,13.872661590576172
0.005,0.9,8,1.0,17.341957998275756,12.175132919951258,3.4253649711608887,51.820457458496094
0.005,0.9,50,1.0,17.370467805862425,19.264461977965215,1.6868047714233398,69.45528411865234
0.005,0.9,16,1.0,23.525441026687623,22.171698918661484,3.3685173988342285,78.04689025878906
0.002,0.9,50,3.0,23.592191499564798,52.12120537220277,0.00851877499371767,191.7068328857422
0.005,0.9,50,3.0,218.57761399745942,253.35501102178372,6.989058017730713,872.7413940429688
0.005,0.0,8,3.0,557.5045202046633,827.4525356118635,0.17254894971847534,2892.970947265625
0.005,0.0,50,3.0,622.6391170978546,576.8364830685463,6.821724891662598,2184.6435546875
0.005,0.9,16,3.0,701.5842849731446,2213.559038066698,7.9390411376953125,10258.244140625
0.005,0.0,16,3.0,723.1632996559143,833.6537321415024,0.8976608514785767,3448.43994140625
0.005,0.9,8,3.0,999.1684332370758,1799.3744376883526,14.227453231811523,6321.98388671875
