learning_rate,momentum,batch_size,bias_initializer_stddev,width,mean_loss,std_loss,min_loss,max_loss
0.0005,0.9,8,3.0,100,0.03448566832812503,0.07350927701648133,0.0009896772680804133,0.327184796333313
0.0005,0.9,8,3.0,200,0.04081912924884819,0.07903905870744932,0.001440978841856122,0.24654000997543335
0.001,0.9,8,3.0,100,0.05490922831522767,0.19236031435903925,0.0006811544299125671,0.8869739770889282
0.001,0.9,50,3.0,200,0.08447492289124056,0.09797119030904876,0.0031664257403463125,0.38597095012664795
0.0005,0.9,8,6.0,100,0.08881195552530699,0.178905986628109,0.0015761284157633781,0.651810884475708
0.001,0.9,50,3.0,100,0.12130532353185117,0.12497829565979807,0.01009130198508501,0.4640398323535919
0.001,0.9,8,3.0,200,0.13897930926759727,0.4528972250234014,0.0014143133303150535,2.1003317832946777
0.0005,0.9,50,3.0,200,0.2930418896023184,0.25666603931513593,0.0074140895158052444,0.6578331589698792
0.0005,0.9,50,6.0,100,0.30290417759679256,0.37523963741144317,0.00623711571097374,1.1649221181869507
0.0005,0.9,50,3.0,100,0.3663757413625717,0.17909795105819487,0.12557043135166168,0.7781976461410522
0.001,0.5,8,3.0,100,0.5105431273579597,0.28008836654140856,0.15292073786258698,1.4191616773605347
0.0005,0.5,8,3.0,100,0.6796780213713646,0.22255825926325395,0.3539436459541321,1.2652686834335327
0.001,0.5,8,3.0,200,0.6878965452313424,0.7451654559126181,0.07114481925964355,3.625148296356201
0.0005,0.5,8,3.0,200,0.7122774153947831,0.1619776191928931,0.5042307376861572,1.1443530321121216
0.001,0.5,50,3.0,100,0.7876302987337113,0.09944925297885952,0.6091981530189514,0.9660055637359619
0.001,0.5,50,3.0,200,0.8122312158346177,0.10218233635452866,0.6186195611953735,1.0331695079803467
0.0005,0.5,50,3.0,100,0.940857195854187,0.09536370078982637,0.7612137794494629,1.0740641355514526
0.0005,0.5,50,3.0,200,0.9694963097572327,0.08997901357728046,0.8068128228187561,1.1800963878631592
0.0005,0.5,50,6.0,100,1.036522889137268,0.1199008159006497,0.7830927968025208,1.2194294929504395
0.0005,0.5,8,6.0,100,1.12743279337883,0.8923339963873431,0.4266026020050049,3.7209930419921875
0.0005,0.5,8,6.0,200,1.1406306284014136,2.509353329124854,0.010786742903292179,11.740287780761719
0.001,0.5,8,6.0,100,1.1805952420225367,2.753305999281116,0.0044175670482218266,12.7235746383667
0.0005,0.5,50,6.0,200,1.2588311932981013,1.9910802004266135,0.0688575953245163,9.707261085510254
0.001,0.5,50,6.0,100,1.5525900017470122,3.751231682198664,0.11997201293706894,17.787912368774414
0.0005,0.99,50,3.0,100,3.2972430169582365,1.3213904239285252,0.509360671043396,6.063612461090088
0.0005,0.99,50,3.0,200,3.777806466817856,1.6028531159991533,1.8621636629104614,7.16294002532959
0.001,0.99,50,3.0,100,7.688829106092453,6.890282134154726,1.2025989294052124,27.309619903564453
0.0005,0.99,8,3.0,200,10.663839533925056,8.269705408763368,0.46404343843460083,34.80169677734375
0.001,0.99,50,3.0,200,12.247037339210511,14.29137253982884,0.6053504943847656,41.66634750366211
0.0005,0.99,50,6.0,100,13.574505969882011,28.285716506713715,0.5501253604888916,130.8638916015625
0.0005,0.9,50,6.0,200,15.318478779215365,44.40512941321069,0.02407633699476719,205.16595458984375
0.0005,0.99,8,6.0,100,15.446662425994873,13.853682946437658,1.673335075378418,68.69975280761719
0.0005,0.99,8,3.0,100,20.91622727513313,47.60243859996157,1.5505249500274658,223.31549072265625
0.001,0.99,8,3.0,100,32.59251441955566,47.55103297976448,10.846951484680176,200.34861755371094
0.001,0.9,50,6.0,100,34.37715300363489,85.32294930375048,0.010952540673315525,395.95941162109375
0.001,0.9,8,6.0,100,61.441095148026946,148.30374365100172,0.15002641081809998,539.71533203125
0.001,0.99,8,3.0,200,77.52885317802429,180.0583925105317,2.039813995361328,839.9107055664062
0.0005,0.9,8,6.0,200,109.86422437243164,387.07343730879273,0.012947648763656616,1779.58251953125
0.0005,0.99,8,6.0,200,150.22813968658448,432.5057720314219,12.357787132263184,1978.6239013671875
0.001,0.99,50,6.0,200,207.97679195404052,455.18490192322554,1.8984439373016357,1650.7618408203125
0.001,0.9,50,6.0,200,209.38169679641723,409.49932361379103,4.114323616027832,1733.65234375
0.0005,0.99,50,6.0,200,708.0090063661337,2045.0640279576294,0.5445289611816406,8941.1845703125
0.001,0.5,50,6.0,200,1245.9200702428818,2948.2715046161593,6.661818981170654,10289.6435546875
0.001,0.99,50,6.0,100,1583.8880744457244,3203.815847992937,1.4891537427902222,9928.0888671875
0.001,0.99,8,6.0,100,2531.987530183792,7800.404750897545,10.423001289367676,35387.28125
0.001,0.99,8,6.0,200,2824.5961933135986,8907.115299430156,11.886061668395996,40168.5234375
0.001,0.9,8,6.0,200,2854.077247309685,6738.6981752740885,1.506303310394287,26465.142578125
0.001,0.5,8,6.0,200,3312.695595806837,12132.339472177533,1.1096223592758179,55720.94140625
