num_samples,learning_rate,momentum,batch_size,bias_initializer_stddev,width,mean_loss,std_loss,min_loss,max_loss
50,0.001,0.9,8,3.0,100,0.0008311222696647747,0.0009629236084196392,6.45074323983863e-05,0.004527972545474768
100,0.0005,0.9,8,3.0,100,0.001474056635197485,0.0016735897400885858,6.284858682192862e-05,0.005716851446777582
50,0.001,0.9,32,3.0,100,0.002640345913823694,0.0018786678078691554,0.0006693087052553892,0.007706162519752979
100,0.001,0.9,8,3.0,200,0.0032022110994148535,0.009066698464078529,0.00012461646110750735,0.04191873222589493
100,0.0005,0.9,8,3.0,200,0.0037652774597518148,0.003610925738432473,0.0002943117287941277,0.013449635356664658
100,0.001,0.9,32,3.0,100,0.004732798064651433,0.00908621607661076,0.0002172327076550573,0.0428551584482193
100,0.001,0.9,32,3.0,200,0.008604179631220177,0.021514610006740365,0.0005600217846222222,0.09612603485584259
50,0.0005,0.9,8,3.0,200,0.016036841180175544,0.019528972979295667,0.0011288085952401161,0.06236186996102333
50,0.001,0.9,32,3.0,200,0.017073900339892135,0.04648226936114104,0.0006633831071667373,0.20186205208301544
50,0.001,0.9,8,3.0,200,0.020159341190446867,0.06628938636280028,0.00024137446598615497,0.3041168451309204
100,0.0005,0.9,32,3.0,100,0.023706502874119906,0.06035465883379748,0.00022756050748284906,0.2426518052816391
50,0.0005,0.9,8,3.0,100,0.023913470556726678,0.07666977239977826,0.00019523446098901331,0.35541102290153503
25,0.001,0.9,32,3.0,200,0.0668027189327404,0.06839715330638536,0.005975899752229452,0.3208976686000824
100,0.0005,0.9,32,3.0,200,0.07927201763377525,0.10411901030775661,0.001119428314268589,0.36607062816619873
100,0.001,0.5,8,3.0,100,0.08247174452990294,0.060666523605414774,0.018141726031899452,0.2456710785627365
50,0.0005,0.9,32,3.0,100,0.12094241523882374,0.12729978228523514,0.0016185129061341286,0.37191706895828247
100,0.001,0.9,8,3.0,100,0.1231700432515936,0.5331907667225175,0.00017063150880858302,2.447293281555176
100,0.001,0.5,8,3.0,200,0.1241699593141675,0.060597477165701887,0.05609048530459404,0.26917099952697754
50,0.0005,0.9,32,3.0,200,0.13380175452912227,0.1480264800724221,0.001470490824431181,0.4056028425693512
25,0.001,0.9,32,3.0,100,0.1630366499070078,0.15836811976970436,0.014283147640526295,0.6348124742507935
25,0.0005,0.9,8,3.0,100,0.1765631727525033,0.2167984122587536,0.001973956124857068,0.8819559216499329
25,0.0005,0.9,8,3.0,200,0.24776183222420514,0.2234464046066368,0.00891780573874712,0.6913902759552002
50,0.001,0.5,8,3.0,100,0.2530338380485773,0.0968935971717552,0.11076805740594864,0.46966567635536194
100,0.0005,0.5,8,3.0,100,0.2533359922468662,0.09027021732987842,0.12499251961708069,0.4451115131378174
100,0.0005,0.5,8,3.0,200,0.2834976173937321,0.10744811213923605,0.16652482748031616,0.6302279829978943
25,0.0005,0.9,32,3.0,200,0.425565785728395,0.30360510897029186,0.019720060750842094,0.8525218963623047
50,0.001,0.5,8,3.0,200,0.4280135318636894,0.23547335335885916,0.12172934412956238,0.9754911661148071
25,0.0005,0.9,32,3.0,100,0.43110517263412473,0.26505144031495814,0.050812795758247375,0.9461814761161804
100,0.001,0.5,32,3.0,200,0.5350276026874781,0.31051796436594675,0.08606217056512833,1.3684065341949463
100,0.001,0.5,32,3.0,100,0.582815931737423,0.33606280500535607,0.2063978612422943,1.484495997428894
50,0.0005,0.5,8,3.0,100,0.6279066681861878,0.21905519756546732,0.28510236740112305,0.9939804077148438
50,0.001,0.5,32,3.0,100,0.6324630945920944,0.12967636365833093,0.4220564663410187,0.9134365320205688
100,0.0005,0.5,32,3.0,100,0.6691461607813836,0.19789370865481454,0.3671357333660126,1.0684514045715332
50,0.0005,0.5,8,3.0,200,0.681732851266861,0.2915850887646308,0.365559846162796,1.4504209756851196
50,0.001,0.5,32,3.0,200,0.6836234942078591,0.1059424907399125,0.44843605160713196,0.9519942402839661
50,0.0005,0.5,32,3.0,100,0.7365727245807647,0.14435006057527855,0.5261690020561218,1.0960540771484375
100,0.0005,0.5,32,3.0,200,0.8325098425149917,0.2160682372662264,0.5253002643585205,1.5477207899093628
25,0.001,0.9,8,3.0,100,0.8397095504216849,1.2832002521778199,0.0033325038384646177,4.611309051513672
50,0.0005,0.5,32,3.0,200,0.8467193722724915,0.1562005471371378,0.6537103056907654,1.2640330791473389
25,0.001,0.5,8,3.0,100,0.8932550609111786,0.3334519347135816,0.3140357732772827,1.6234699487686157
25,0.0005,0.5,8,3.0,100,0.9476789563894272,0.22987659056578158,0.6948049068450928,1.6343897581100464
25,0.001,0.5,32,3.0,100,0.9622102528810501,0.10405982454986662,0.7698037028312683,1.2637253999710083
25,0.001,0.5,32,3.0,200,0.9798606365919114,0.0754968494562043,0.8523252606391907,1.1382434368133545
25,0.0005,0.5,32,3.0,200,1.1109101742506027,0.07246109865684477,0.9732219576835632,1.2581695318222046
25,0.0005,0.5,32,3.0,100,1.1198252201080323,0.10008560944916929,0.9340879917144775,1.2834185361862183
25,0.0005,0.5,8,3.0,200,1.170592838525772,0.49719095404443236,0.7065343260765076,2.9096245765686035
25,0.001,0.5,8,3.0,200,1.4618823140859605,0.7900363058206893,0.58416348695755,3.3160905838012695
25,0.001,0.9,8,3.0,200,1.5298533069202676,1.857532514968994,0.003787581343203783,6.701066970825195
